// K-L3,K-L2,K-M3,K-N3,K-M2,K-N5,K-M5,L3-N2,L3-N3,L3-O2,L3-O3,L3-P1,L3-M5,L3-M4,L3-N4,L3-N5,L3-O4,L3-N1,L3-O1,L3-M1,L3-M3,L3-M2,L3-N6,L2-M2,L2-M5,L2-N2,L2-N3,L2-N5,L2-O2,L2-O3,L2-P2,L2-M4,L2-M3,L2-N4,L2-N1,L2-O4,L2-O1,L2-M1,L2-N6,L1-M1,L1-N1,L1-N4,L1-O1,L1-O4,L1-M4,L1-M3,L1-M2,L1-M5,L1-N2,L1-N5,L1-N3,L1-O3,L1-O2,M1-N2,M1-N3,M2-M4,M2-N1,M2-N4,M2-O4,M3-M4,M3-M5,M3-N1,M3-N4,M3-O1,M3-O4,M3-O5,M3-N5,M4-N3,M4-O2,M4-N6,M4-N2,M5-O3,M5-N7,M5-N6,M5-N3,N4-N6,N5-N6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.00E+00,5.00E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.00E+00,5.03E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.00E+00,5.07E-01,2.62E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.00E+00,5.05E-01,3.16E-02,0,1.58E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.00E+00,5.05E-01,5.93E-02,0,2.67E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.00E+00,5.04E-01,7.24E-02,0,3.45E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.00E+00,5.06E-01,9.43E-02,0,4.60E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.5059,0.10169,0,0.0517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.00E+00,5.05E-01,1.19E-01,0,6.67E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.00E+00,5.07E-01,1.24E-01,0,6.98E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.30E-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.00E+00,5.10E-01,1.29E-01,0,6.44E-02,0,1.03E-04,0,0,0,0,0,5.57E-01,0,0,0,0,0,0,1.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,1.40E-04,0,2.55E-02,0,0,4.88E-01,0,0,0,0,0,0,0,1.05E-01,5.50E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.00E+00,5.09E-01,1.26E-01,0,7.10E-02,0,1.09E-04,0,0,0,0,0,6.16E-01,7.02E-02,0,0,0,0,0,1.00E+00,0,0,0,0,0,0,0,0,0,0,0,2.80E-01,1.34E-04,0,1.24E-02,0,0,4.92E-01,0,0,0,0,0,0,0,1.58E-01,8.28E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.00E+00,5.09E-01,1.28E-01,0,7.33E-02,0,1.03E-04,0,0,0,0,0,1.00E+00,1.14E-01,0,0,0,0,0,5.56E-01,0,0,0,0,0,0,0,0,0,0,0,1.68E-01,9.85E-05,0,1.19E-02,0,0,2.72E-01,0,0,0,0,0,0,0,6.54E-03,1.73E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.00E+00,5.12E-01,1.36E-01,0,6.79E-02,0,9.94E-05,0,0,0,0,0,1.00E+00,1.35E-01,0,0,0,0,0,6.65E-01,0,0,0,0,0,0,0,0,0,0,0,1.68E-01,9.89E-05,0,7.42E-03,0,0,2.27E-01,0,0,0,0,0,0,0,1.79E-02,9.42E-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.00E+00,5.00E-01,1.08E-01,0,6.20E-02,0,9.83E-05,0,0,0,0,0,1.00E+00,1.14E-01,0,0,0,0,0,5.97E-01,0,0,0,0,0,0,0,0,0,0,0,5.00E-01,1.17E-04,0,1.73E-02,0,0,7.06E-02,0,0,0,0,0,0,0,1.78E-02,9.46E-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.00E+00,1.93E-01,9.95E-02,0,5.72E-02,0,7.82E-05,0,0,0,0,0,1.00E+00,1.14E-01,0,0,0,0,0,2.47E-01,0,0,0,0,0,0,0,0,0,0,0,3.92E-01,1.09E-04,0,1.05E-02,0,0,8.90E-02,0,0,0,0,0,0,0,5.86E-02,3.14E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.00E+00,1.43E-01,1.01E-01,0,5.80E-02,0,8.41E-05,0,0,0,0,0,1.00E+00,1.15E-01,0,0,0,0,0,2.42E-01,0,0,0,0,0,0,0,0,0,0,0,8.24E-02,9.32E-05,0,1.72E-03,0,0,5.55E-02,0,0,0,0,0,0,0,1.02E-02,5.47E-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.00E+00,2.18E-01,1.08E-01,0,6.20E-02,0,9.29E-05,0,0,0,0,0,1.00E+00,1.15E-01,0,0,0,0,0,2.05E-01,0,0,0,0,0,0,0,0,0,0,0,1.11E-01,9.53E-05,0,1.73E-03,0,0,5.31E-02,0,0,0,0,0,0,0,2.10E-03,1.28E-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.00E+00,5.14E-01,1.40E-01,0,7.80E-02,0,2.70E-04,0,0,0,0,0,1.00E+00,9.63E-02,0,0,0,0,0,9.04E-02,0,0,0,0,0,0,0,0,0,0,0,2.90E-02,5.97E-04,0,6.36E-05,0,0,1.50E-02,0,0,0,0,0,0,0,1.22E-03,7.58E-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.00E+00,6.53E-01,1.55E-01,0,8.64E-02,0,2.82E-04,0,0,0,0,0,1.00E+00,1.14E-01,0,0,0,0,0,6.54E-02,0,0,0,0,0,0,0,0,0,0,0,9.49E-02,9.47E-05,0,1.02E-03,0,0,1.64E-02,0,0,0,0,0,0,0,1.04E-03,6.23E-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
